Betreiber,Anzeigename,Status,Art der Ladeeinrichtung,Anzahl Ladepunkte,Nennleistung [kW],Inbetriebnahmedatum,Straße,Hausnummer,PLZ,Ort,Volladresse,location,Latitude,Longitude,Stadtteil,Begründung
,AC-0060,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,48.9841189,8.360788566666667,Oberreut,AC score=70; ist_ac=0
,AC-0061,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,48.9835018,8.3620579,Oberreut,AC score=70; ist_ac=0
,AC-0062,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,49.0118703,8.49107385,Grötzingen,AC score=70; ist_ac=4
,AC-0063,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,49.04668515,8.3813619,Neureut,AC score=70; ist_ac=3
,AC-0064,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,49.0056806,8.506414,Grötzingen,AC score=70; ist_ac=4
,AC-0065,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,48.9751909,8.4059237,Rüppurr,AC score=70; ist_ac=4
,AC-0066,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,48.98663648,8.36037892,Oberreut,AC score=70; ist_ac=0
,AC-0067,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,49.03244275,8.454075425,Hagsfeld,AC score=70; ist_ac=10
,AC-0068,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,49.0011531,8.5057593,Grötzingen,AC score=70; ist_ac=4
,AC-0069,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,48.9860516,8.3615715,Oberreut,AC score=70; ist_ac=0
,AC-0070,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,49.031814600000004,8.45399305,Hagsfeld,AC score=70; ist_ac=10
,AC-0071,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,48.9871259,8.3617481,Oberreut,AC score=70; ist_ac=0
,AC-0072,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,49.03381293333334,8.447539,Waldstadt,AC score=70; ist_ac=6
,AC-0073,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,49.0468211,8.38426845,Neureut,AC score=70; ist_ac=3
,AC-0074,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,49.0345447,8.4435661,Waldstadt,AC score=70; ist_ac=6
,AC-0075,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,49.0586886,8.3994175,Neureut,AC score=70; ist_ac=3
,AC-0076,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,48.9755988,8.4122085,Rüppurr,AC score=70; ist_ac=4
,AC-0077,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,49.0002627,8.502169349999999,Grötzingen,AC score=70; ist_ac=4
,AC-0078,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,49.0363147,8.3436732,Knielingen,AC score=70; ist_ac=6
,AC-0079,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,48.9759023,8.4136577,Rüppurr,AC score=70; ist_ac=4
,AC-0080,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,48.9928015,8.3519089,Grünwinkel,AC score=70; ist_ac=16
,AC-0081,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,49.0040288,8.3561648,Grünwinkel,AC score=70; ist_ac=16
,AC-0082,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,49.0369047,8.3437864,Knielingen,AC score=70; ist_ac=6
,AC-0083,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,48.99962755,8.341039850000001,Daxlanden,AC score=70; ist_ac=0
,AC-0084,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,49.039064266666664,8.311796433333333,Knielingen,AC score=70; ist_ac=6
,AC-0085,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,49.001883649999996,8.342873449999999,Daxlanden,AC score=70; ist_ac=0
,AC-0086,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,49.0372778,8.3441214,Knielingen,AC score=70; ist_ac=6
,AC-0087,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,49.01501015,8.4418366,Rintheim,AC score=70; ist_ac=10
,AC-0088,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,48.9974688,8.3927526,Südweststadt,AC score=70; ist_ac=12
,AC-0089,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,49.0002037,8.3919684,Südweststadt,AC score=70; ist_ac=12
,AC-0090,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,49.01442,8.4404071,Rintheim,AC score=70; ist_ac=10
,AC-0091,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,49.0205072,8.3879432,Nordstadt,AC score=70; ist_ac=7
,AC-0092,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,49.0150118,8.438491599999999,Rintheim,AC score=70; ist_ac=10
,AC-0093,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,49.037008,8.3445251,Knielingen,AC score=70; ist_ac=6
,AC-0094,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,49.0077803,8.4256539,Oststadt,AC score=70; ist_ac=14
,AC-0095,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,48.9903432,8.3791507,Beiertheim-Bulach,AC score=70; ist_ac=2
,AC-0096,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,48.990077,8.3806689,Beiertheim-Bulach,AC score=70; ist_ac=2
,AC-0097,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,48.999962,8.3420332,Daxlanden,AC score=70; ist_ac=0
,AC-0098,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,49.0234881,8.3455351,Knielingen,AC score=70; ist_ac=6
,AC-0099,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,49.0374278,8.34489465,Knielingen,AC score=70; ist_ac=6
,AC-0100,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,49.0378767,8.345232,Knielingen,AC score=70; ist_ac=6
,AC-0101,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,48.99896205,8.34217435,Daxlanden,AC score=70; ist_ac=0
,AC-0102,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,49.013293,8.370603,Weststadt,AC score=70; ist_ac=19
,AC-0103,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,49.01574046666667,8.439885666666667,Rintheim,AC score=70; ist_ac=10
,AC-0104,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,48.9862147,8.3751284,Beiertheim-Bulach,AC score=70; ist_ac=2
,AC-0105,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,49.007655066666665,8.3802395,Weststadt,AC score=70; ist_ac=19
,AC-0106,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,48.9887099,8.365516866666665,Oberreut,AC score=70; ist_ac=0
,AC-0107,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,49.023607999999996,8.37113325,Nordweststadt,AC score=70; ist_ac=18
,AC-0108,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,48.981436099999996,8.405164033333334,Weiherfeld-Dammerstock,AC score=70; ist_ac=6
