Betreiber,Anzeigename,Status,Art der Ladeeinrichtung,Anzahl Ladepunkte,Nennleistung [kW],Inbetriebnahmedatum,Straße,Hausnummer,PLZ,Ort,Volladresse,location,Latitude,Longitude
Karlsruher Fächer GmbH,Karlsruher Fächer,In Betrieb,Normalladeeinrichtung,1,11.0,03.03.2023,Südendstraße,44,76135,Karlsruhe,"Südendstraße 44, 76135 Karlsruhe, Deutschland","Südendstraße 44, 76135 Karlsruhe, Deutschland",49.000215,8.384
Parkraumgesellschaft Baden-Württemberg GmbH,,In Betrieb,Normalladeeinrichtung,2,44.0,10.07.2024,Steinhäuserstr.,11,76135,Karlsruhe,"Steinhäuserstr. 11, 76135 Karlsruhe, Deutschland","Steinhäuserstr. 11, 76135 Karlsruhe, Deutschland",49.002448,8.382458
EnBW mobility+ AG und Co.KG,,In Betrieb,Schnellladeeinrichtung,2,150.0,30.11.2020,Durlacher Allee,111,76137,Karlsruhe,"Durlacher Allee 111, 76137 Karlsruhe, Deutschland","Durlacher Allee 111, 76137 Karlsruhe, Deutschland",49.003795,8.447353
EnBW mobility+ AG und Co.KG,,In Betrieb,Schnellladeeinrichtung,2,150.0,30.11.2020,Durlacher Allee,111,76137,Karlsruhe,"Durlacher Allee 111, 76137 Karlsruhe, Deutschland","Durlacher Allee 111, 76137 Karlsruhe, Deutschland",49.003795,8.447353
EnBW mobility+ AG und Co.KG,,In Betrieb,Schnellladeeinrichtung,2,300.0,30.11.2020,Durlacher Allee,111,76137,Karlsruhe,"Durlacher Allee 111, 76137 Karlsruhe, Deutschland","Durlacher Allee 111, 76137 Karlsruhe, Deutschland",49.003795,8.447353
EnBW mobility+ AG und Co.KG,,In Betrieb,Schnellladeeinrichtung,2,300.0,30.11.2020,Durlacher Allee,111,76137,Karlsruhe,"Durlacher Allee 111, 76137 Karlsruhe, Deutschland","Durlacher Allee 111, 76137 Karlsruhe, Deutschland",49.003795,8.447353
EnBW mobility+ AG und Co.KG,,In Betrieb,Normalladeeinrichtung,2,30.0,06.11.2020,Bahnhofstr.,50,76137,Karlsruhe,"Bahnhofstr. 50, 76137 Karlsruhe, Deutschland","Bahnhofstr. 50, 76137 Karlsruhe, Deutschland",48.995,8.3998
EnBW mobility+ AG und Co.KG,,In Betrieb,Normalladeeinrichtung,2,22.0,09.07.2021,Luisenstraße,6,76137,Karlsruhe,"Luisenstraße 6, 76137 Karlsruhe, Deutschland","Luisenstraße 6, 76137 Karlsruhe, Deutschland",49.000738,8.405618
Claus Heinemann Elektroanlagen GmbH,ChargeOne,In Betrieb,Normalladeeinrichtung,4,11.0,09.06.2023,Luisenstraße,2F,76137,Karlsruhe,"Luisenstraße 2F, 76137 Karlsruhe, Deutschland","Luisenstraße 2F, 76137 Karlsruhe, Deutschland",49.000645,8.404824
Claus Heinemann Elektroanlagen GmbH,ChargeOne,In Betrieb,Normalladeeinrichtung,4,11.0,09.06.2023,Luisenstraße,2F,76137,Karlsruhe,"Luisenstraße 2F, 76137 Karlsruhe, Deutschland","Luisenstraße 2F, 76137 Karlsruhe, Deutschland",49.000645,8.404824
Claus Heinemann Elektroanlagen GmbH,ChargeOne,In Betrieb,Normalladeeinrichtung,2,11.0,09.06.2023,Luisenstraße,2F,76137,Karlsruhe,"Luisenstraße 2F, 76137 Karlsruhe, Deutschland","Luisenstraße 2F, 76137 Karlsruhe, Deutschland",49.000645,8.404824
Claus Heinemann Elektroanlagen GmbH,ChargeOne,In Betrieb,Normalladeeinrichtung,1,11.0,14.12.2023,Schwarzwaldstr.,92,76137,Karlsruhe,"Schwarzwaldstr. 92, 76137 Karlsruhe, Deutschland","Schwarzwaldstr. 92, 76137 Karlsruhe, Deutschland",48.991778,8.403143
Claus Heinemann Elektroanlagen GmbH,ChargeOne,In Betrieb,Normalladeeinrichtung,2,11.0,14.12.2023,Schwarzwaldstrasse,92,76137,Karlsruhe,"Schwarzwaldstrasse 92, 76137 Karlsruhe, Deutschland","Schwarzwaldstrasse 92, 76137 Karlsruhe, Deutschland",48.991778,8.403143
Parkraumgesellschaft Baden-Württemberg GmbH,,In Betrieb,Normalladeeinrichtung,2,22.0,12.10.2022,Baumeisterstraße,9,76137,Karlsruhe,"Baumeisterstraße 9, 76137 Karlsruhe, Deutschland","Baumeisterstraße 9, 76137 Karlsruhe, Deutschland",49.004873,8.403181
Karlsruher Fächer GmbH,Karlsruher Fächer,In Betrieb,Normalladeeinrichtung,1,11.0,03.03.2023,Hinterm Hauptbahnhof/Bahnhofplatz,1,76137,Karlsruhe,"Hinterm Hauptbahnhof/Bahnhofplatz 1, 76137 Karlsruhe, Deutschland","Hinterm Hauptbahnhof/Bahnhofplatz 1, 76137 Karlsruhe, Deutschland",48.99334,8.402868
Karlsruher Fächer GmbH,Karlsruher Fächer,In Betrieb,Normalladeeinrichtung,1,10.4,14.08.2023,Fautenbruchstraße,53,76137,Karlsruhe,"Fautenbruchstraße 53, 76137 Karlsruhe, Deutschland","Fautenbruchstraße 53, 76137 Karlsruhe, Deutschland",48.99278,8.40655
Karlsruher Fächer GmbH,Karlsruher Fächer,In Betrieb,Normalladeeinrichtung,1,10.4,14.08.2023,Fautenbruchstraße,53,76137,Karlsruhe,"Fautenbruchstraße 53, 76137 Karlsruhe, Deutschland","Fautenbruchstraße 53, 76137 Karlsruhe, Deutschland",48.992785,8.406567
Karlsruher Fächer GmbH,Karlsruher Fächer,In Betrieb,Normalladeeinrichtung,1,10.4,14.08.2023,Fautenbruchstraße,53,76137,Karlsruhe,"Fautenbruchstraße 53, 76137 Karlsruhe, Deutschland","Fautenbruchstraße 53, 76137 Karlsruhe, Deutschland",48.99277,8.406525
Karlsruher Fächer GmbH,Karlsruher Fächer,In Betrieb,Normalladeeinrichtung,1,10.4,14.08.2023,Fautenbruchstraße,53,76137,Karlsruhe,"Fautenbruchstraße 53, 76137 Karlsruhe, Deutschland","Fautenbruchstraße 53, 76137 Karlsruhe, Deutschland",48.992766,8.40651
EFA Tankstellenbetriebe und Mineralölhandel GmbH,,In Betrieb,Schnellladeeinrichtung,3,200.0,21.12.2017,Wolfartsweierer Str.,46,76137,Karlsruhe,"Wolfartsweierer Str. 46, 76137 Karlsruhe, Deutschland","Wolfartsweierer Str. 46, 76137 Karlsruhe, Deutschland",48.999581,8.428024
Wirelane GmbH,Wirelane GmbH,In Betrieb,Normalladeeinrichtung,2,22.0,15.11.2024,Ettlinger Straße,23,76137,Karlsruhe,"Ettlinger Straße 23, 76137 Karlsruhe, Deutschland","Ettlinger Straße 23, 76137 Karlsruhe, Deutschland",49.00018,8.403739
Tesla Germany GmbH,,In Betrieb,Schnellladeeinrichtung,1,250.0,20.03.2023,Wolfartsweierer Str.,48,76137,Karlsruhe,"Wolfartsweierer Str. 48, 76137 Karlsruhe, Deutschland","Wolfartsweierer Str. 48, 76137 Karlsruhe, Deutschland",48.999043,8.428747
Tesla Germany GmbH,,In Betrieb,Schnellladeeinrichtung,1,250.0,20.03.2023,Wolfartsweierer Str.,48,76137,Karlsruhe,"Wolfartsweierer Str. 48, 76137 Karlsruhe, Deutschland","Wolfartsweierer Str. 48, 76137 Karlsruhe, Deutschland",48.999043,8.428747
Tesla Germany GmbH,,In Betrieb,Schnellladeeinrichtung,1,250.0,20.03.2023,Wolfartsweierer Str.,48,76137,Karlsruhe,"Wolfartsweierer Str. 48, 76137 Karlsruhe, Deutschland","Wolfartsweierer Str. 48, 76137 Karlsruhe, Deutschland",48.999043,8.428747
Tesla Germany GmbH,,In Betrieb,Schnellladeeinrichtung,1,250.0,20.03.2023,Wolfartsweierer Str.,48,76137,Karlsruhe,"Wolfartsweierer Str. 48, 76137 Karlsruhe, Deutschland","Wolfartsweierer Str. 48, 76137 Karlsruhe, Deutschland",48.999043,8.428747
Tesla Germany GmbH,,In Betrieb,Schnellladeeinrichtung,1,250.0,20.03.2023,Wolfartsweierer Str.,48,76137,Karlsruhe,"Wolfartsweierer Str. 48, 76137 Karlsruhe, Deutschland","Wolfartsweierer Str. 48, 76137 Karlsruhe, Deutschland",48.999043,8.428747
Tesla Germany GmbH,,In Betrieb,Schnellladeeinrichtung,1,250.0,20.03.2023,Wolfartsweierer Str.,48,76137,Karlsruhe,"Wolfartsweierer Str. 48, 76137 Karlsruhe, Deutschland","Wolfartsweierer Str. 48, 76137 Karlsruhe, Deutschland",48.999043,8.428747
Tesla Germany GmbH,,In Betrieb,Schnellladeeinrichtung,1,250.0,20.03.2023,Wolfartsweierer Str.,48,76137,Karlsruhe,"Wolfartsweierer Str. 48, 76137 Karlsruhe, Deutschland","Wolfartsweierer Str. 48, 76137 Karlsruhe, Deutschland",48.999043,8.428747
Tesla Germany GmbH,,In Betrieb,Schnellladeeinrichtung,1,250.0,20.03.2023,Wolfartsweierer Str.,48,76137,Karlsruhe,"Wolfartsweierer Str. 48, 76137 Karlsruhe, Deutschland","Wolfartsweierer Str. 48, 76137 Karlsruhe, Deutschland",48.999043,8.428747
Tesla Germany GmbH,,In Betrieb,Schnellladeeinrichtung,1,250.0,20.03.2023,Wolfartsweierer Str.,48,76137,Karlsruhe,"Wolfartsweierer Str. 48, 76137 Karlsruhe, Deutschland","Wolfartsweierer Str. 48, 76137 Karlsruhe, Deutschland",48.999043,8.428747
Tesla Germany GmbH,,In Betrieb,Schnellladeeinrichtung,1,250.0,20.03.2023,Wolfartsweierer Str.,48,76137,Karlsruhe,"Wolfartsweierer Str. 48, 76137 Karlsruhe, Deutschland","Wolfartsweierer Str. 48, 76137 Karlsruhe, Deutschland",48.999043,8.428747
Tesla Germany GmbH,,In Betrieb,Schnellladeeinrichtung,1,250.0,20.03.2023,Wolfartsweierer Str.,48,76137,Karlsruhe,"Wolfartsweierer Str. 48, 76137 Karlsruhe, Deutschland","Wolfartsweierer Str. 48, 76137 Karlsruhe, Deutschland",48.999043,8.428747
Parkraumgesellschaft Baden-Württemberg GmbH,,In Betrieb,Normalladeeinrichtung,2,22.0,21.11.2024,Ritterstr.,20,76137,Karlsruhe,"Ritterstr. 20, 76137 Karlsruhe, Deutschland","Ritterstr. 20, 76137 Karlsruhe, Deutschland",49.007315,8.399355
Claus Heinemann Elektroanlagen GmbH,ChargeOne,In Betrieb,Normalladeeinrichtung,1,11.0,14.12.2023,Schwarzwaldstr.,92,76137,Karlsruhe,"Schwarzwaldstr. 92, 76137 Karlsruhe, Deutschland","Schwarzwaldstr. 92, 76137 Karlsruhe, Deutschland",48.991778,8.403143
Claus Heinemann Elektroanlagen GmbH,ChargeOne,In Betrieb,Normalladeeinrichtung,1,11.0,14.12.2023,Schwarzwaldstr.,92,76137,Karlsruhe,"Schwarzwaldstr. 92, 76137 Karlsruhe, Deutschland","Schwarzwaldstr. 92, 76137 Karlsruhe, Deutschland",48.991778,8.403143
Claus Heinemann Elektroanlagen GmbH,ChargeOne,In Betrieb,Normalladeeinrichtung,1,11.0,14.12.2023,Schwarzwaldstr.,92,76137,Karlsruhe,"Schwarzwaldstr. 92, 76137 Karlsruhe, Deutschland","Schwarzwaldstr. 92, 76137 Karlsruhe, Deutschland",48.991778,8.403143
EnBW mobility+ AG und Co.KG,,In Betrieb,Schnellladeeinrichtung,2,300.0,02.12.2025,Durlacher Allee,111,76137,Karlsruhe,"Durlacher Allee 111, 76137 Karlsruhe, Deutschland","Durlacher Allee 111, 76137 Karlsruhe, Deutschland",49.003795,8.447353
EnBW mobility+ AG und Co.KG,,In Betrieb,Schnellladeeinrichtung,2,400.0,17.12.2025,Hinterm Hauptbahnhof,5,76137,Karlsruhe,"Hinterm Hauptbahnhof 5, 76137 Karlsruhe, Deutschland","Hinterm Hauptbahnhof 5, 76137 Karlsruhe, Deutschland",48.992237,8.403035
EnBW mobility+ AG und Co.KG,,In Betrieb,Schnellladeeinrichtung,2,400.0,17.12.2025,Hinterm Hauptbahnhof,5,76137,Karlsruhe,"Hinterm Hauptbahnhof 5, 76137 Karlsruhe, Deutschland","Hinterm Hauptbahnhof 5, 76137 Karlsruhe, Deutschland",48.992237,8.403035
EnBW mobility+ AG und Co.KG,,In Betrieb,Schnellladeeinrichtung,2,400.0,17.12.2025,Hinterm Hauptbahnhof,5,76137,Karlsruhe,"Hinterm Hauptbahnhof 5, 76137 Karlsruhe, Deutschland","Hinterm Hauptbahnhof 5, 76137 Karlsruhe, Deutschland",48.992237,8.403035
EnBW mobility+ AG und Co.KG,,In Betrieb,Schnellladeeinrichtung,2,400.0,17.12.2025,Hinterm Hauptbahnhof,5,76137,Karlsruhe,"Hinterm Hauptbahnhof 5, 76137 Karlsruhe, Deutschland","Hinterm Hauptbahnhof 5, 76137 Karlsruhe, Deutschland",48.992237,8.403035
EnBW mobility+ AG und Co.KG,,In Betrieb,Normalladeeinrichtung,2,30.0,01.12.2020,Pfizerstr.,1,76139,Karlsruhe,"Pfizerstr. 1, 76139 Karlsruhe, Deutschland","Pfizerstr. 1, 76139 Karlsruhe, Deutschland",49.024222,8.456114
Fraunhofer-Gesellschaft e. V.,,In Betrieb,Normalladeeinrichtung,2,22.0,02.09.2022,Breslauer Straße,48,76139,Karlsruhe,"Breslauer Straße 48, 76139 Karlsruhe, Deutschland","Breslauer Straße 48, 76139 Karlsruhe, Deutschland",49.028191,8.441557
Fraunhofer-Gesellschaft e. V.,,In Betrieb,Normalladeeinrichtung,2,22.0,02.09.2022,Breslauer Straße,48,76139,Karlsruhe,"Breslauer Straße 48, 76139 Karlsruhe, Deutschland","Breslauer Straße 48, 76139 Karlsruhe, Deutschland",49.028191,8.441557
Pfalzwerke AG,Pfalzwerke AG,In Betrieb,Schnellladeeinrichtung,2,93.0,13.11.2019,Am Storrenacker,6,76139,Karlsruhe,"Am Storrenacker 6, 76139 Karlsruhe, Deutschland","Am Storrenacker 6, 76139 Karlsruhe, Deutschland",49.018682,8.460751
Pfalzwerke AG,Pfalzwerke AG,In Betrieb,Normalladeeinrichtung,2,44.0,13.11.2019,Am Storrenacker,6,76139,Karlsruhe,"Am Storrenacker 6, 76139 Karlsruhe, Deutschland","Am Storrenacker 6, 76139 Karlsruhe, Deutschland",49.018682,8.460751
S&G Automobil AG,,In Betrieb,Normalladeeinrichtung,2,22.0,12.04.2021,Am Storrenacker,1,76139,Karlsruhe,"Am Storrenacker 1, 76139 Karlsruhe, Deutschland","Am Storrenacker 1, 76139 Karlsruhe, Deutschland",49.019266,8.463183
S&G Automobil AG,,In Betrieb,Normalladeeinrichtung,2,22.0,12.04.2021,Am Storrenacker,1,76139,Karlsruhe,"Am Storrenacker 1, 76139 Karlsruhe, Deutschland","Am Storrenacker 1, 76139 Karlsruhe, Deutschland",49.019542,8.462964
Pfalzwerke AG,Pfalzwerke AG,In Betrieb,Schnellladeeinrichtung,2,50.0,15.05.2025,Am Storrenacker,6,76139,Karlsruhe,"Am Storrenacker 6, 76139 Karlsruhe, Deutschland","Am Storrenacker 6, 76139 Karlsruhe, Deutschland",49.019578,8.460025
Pfalzwerke AG,Pfalzwerke AG,In Betrieb,Schnellladeeinrichtung,2,320.0,15.05.2025,Am Storrenacker,6,76139,Karlsruhe,"Am Storrenacker 6, 76139 Karlsruhe, Deutschland","Am Storrenacker 6, 76139 Karlsruhe, Deutschland",49.019519,8.460024
Pfalzwerke AG,Pfalzwerke AG,In Betrieb,Schnellladeeinrichtung,2,320.0,15.05.2025,Am Storrenacker,6,76139,Karlsruhe,"Am Storrenacker 6, 76139 Karlsruhe, Deutschland","Am Storrenacker 6, 76139 Karlsruhe, Deutschland",49.019535,8.45998
ALDI SÜD Immobilienverwaltungs-GmbH & Co. oHG,ALDI SÜD,In Betrieb,Schnellladeeinrichtung,3,150.0,20.05.2021,Lorbeerweg,3,76149,Karlsruhe,"Lorbeerweg 3, 76149 Karlsruhe, Deutschland","Lorbeerweg 3, 76149 Karlsruhe, Deutschland",49.037333,8.391694
Pfalzwerke AG,Pfalzwerke AG,In Betrieb,Schnellladeeinrichtung,3,125.0,09.09.2020,Hermann-Höpker-Aschoff-Straße,0,76149,Karlsruhe,"Hermann-Höpker-Aschoff-Straße 0, 76149 Karlsruhe, Deutschland","Hermann-Höpker-Aschoff-Straße 0, 76149 Karlsruhe, Deutschland",49.053527,8.392971
Frank Hetzel,,In Betrieb,Normalladeeinrichtung,1,11.0,21.09.2022,Zehntwaldstraße,32,76149,Karlsruhe,"Zehntwaldstraße 32, 76149 Karlsruhe, Deutschland","Zehntwaldstraße 32, 76149 Karlsruhe, Deutschland",49.047256,8.398597
Autohaus Finger GmbH,,In Betrieb,Normalladeeinrichtung,2,33.0,13.12.2021,Donauschwabenstraße,40,76149,Karlsruhe,"Donauschwabenstraße 40, 76149 Karlsruhe, Deutschland","Donauschwabenstraße 40, 76149 Karlsruhe, Deutschland",49.052892,8.396011
Stadtwerke Rastatt Service GmbH,,In Betrieb,Normalladeeinrichtung,2,44.0,18.10.2024,Ohiostr.,15,76149,Karlsruhe,"Ohiostr. 15, 76149 Karlsruhe, Deutschland","Ohiostr. 15, 76149 Karlsruhe, Deutschland",49.032626,8.393573
Stadtwerke Rastatt Service GmbH,,In Betrieb,Normalladeeinrichtung,1,22.0,18.10.2024,Ohiostr.,15,76149,Karlsruhe,"Ohiostr. 15, 76149 Karlsruhe, Deutschland","Ohiostr. 15, 76149 Karlsruhe, Deutschland",49.032626,8.393573
ALDI SÜD Immobilienverwaltungs-GmbH & Co. oHG,ALDI SÜD,In Betrieb,Schnellladeeinrichtung,2,150.0,19.08.2025,Lorbeerweg,1,76149,Karlsruhe,"Lorbeerweg 1, 76149 Karlsruhe, Deutschland","Lorbeerweg 1, 76149 Karlsruhe, Deutschland",49.037397,8.391819
ALDI SÜD Immobilienverwaltungs-GmbH & Co. oHG,ALDI SÜD,In Betrieb,Schnellladeeinrichtung,2,150.0,19.08.2025,Lorbeerweg,1,76149,Karlsruhe,"Lorbeerweg 1, 76149 Karlsruhe, Deutschland","Lorbeerweg 1, 76149 Karlsruhe, Deutschland",49.037485,8.391819
Lidl Dienstleistung GmbH & Co. KG,Lidl,In Betrieb,Schnellladeeinrichtung,3,75.0,25.06.2020,An der Trift,2,76149,Karlsruhe-Neureut,"An der Trift 2, 76149 Karlsruhe-Neureut, Deutschland","An der Trift 2, 76149 Karlsruhe-Neureut, Deutschland",49.04445,8.394077
EnBW mobility+ AG und Co.KG,,In Betrieb,Normalladeeinrichtung,2,30.0,12.11.2020,Daxlander Str.,72,76185,Karlsruhe,"Daxlander Str. 72, 76185 Karlsruhe, Deutschland","Daxlander Str. 72, 76185 Karlsruhe, Deutschland",49.0089,8.34405
EnBW mobility+ AG und Co.KG,,In Betrieb,Normalladeeinrichtung,2,30.0,12.11.2020,Yorckstr.,19,76185,Karlsruhe,"Yorckstr. 19, 76185 Karlsruhe, Deutschland","Yorckstr. 19, 76185 Karlsruhe, Deutschland",49.00932,8.37387
EnBW mobility+ AG und Co.KG,,In Betrieb,Schnellladeeinrichtung,2,150.0,16.05.2023,Neureuter Straße,4,76185,Karlsruhe,"Neureuter Straße 4, 76185 Karlsruhe, Deutschland","Neureuter Straße 4, 76185 Karlsruhe, Deutschland",49.01723,8.3546
EnBW mobility+ AG und Co.KG,,In Betrieb,Schnellladeeinrichtung,2,300.0,16.05.2023,Neureuter Straße,4,76185,Karlsruhe,"Neureuter Straße 4, 76185 Karlsruhe, Deutschland","Neureuter Straße 4, 76185 Karlsruhe, Deutschland",49.01723,8.3546
ALDI SÜD Immobilienverwaltungs-GmbH & Co. oHG,ALDI SÜD,In Betrieb,Schnellladeeinrichtung,3,150.0,14.06.2021,Borsigstraße,11,76185,Karlsruhe,"Borsigstraße 11, 76185 Karlsruhe, Deutschland","Borsigstraße 11, 76185 Karlsruhe, Deutschland",49.021028,8.355139
OSP Ollisa Solar Power GmbH,,In Betrieb,Normalladeeinrichtung,2,22.0,01.01.2022,Carl-Metz-Straße,7,76185,Karlsruhe,"Carl-Metz-Straße 7, 76185 Karlsruhe, Deutschland","Carl-Metz-Straße 7, 76185 Karlsruhe, Deutschland",49.009647,8.351906
OSP Ollisa Solar Power GmbH,,In Betrieb,Normalladeeinrichtung,2,22.0,01.01.2022,Carl-Metz-Straße,7,76185,Karlsruhe,"Carl-Metz-Straße 7, 76185 Karlsruhe, Deutschland","Carl-Metz-Straße 7, 76185 Karlsruhe, Deutschland",49.009647,8.351906
OSP Ollisa Solar Power GmbH,,In Betrieb,Normalladeeinrichtung,2,22.0,01.01.2022,Carl-Metz-Straße,7,76185,Karlsruhe,"Carl-Metz-Straße 7, 76185 Karlsruhe, Deutschland","Carl-Metz-Straße 7, 76185 Karlsruhe, Deutschland",49.009647,8.351906
OSP Ollisa Solar Power GmbH,,In Betrieb,Normalladeeinrichtung,2,22.0,01.01.2022,Carl-Metz-Straße,7,76185,Karlsruhe,"Carl-Metz-Straße 7, 76185 Karlsruhe, Deutschland","Carl-Metz-Straße 7, 76185 Karlsruhe, Deutschland",49.009647,8.351906
OSP Ollisa Solar Power GmbH,,In Betrieb,Normalladeeinrichtung,2,22.0,01.01.2022,Carl-Metz-Straße,7,76185,Karlsruhe,"Carl-Metz-Straße 7, 76185 Karlsruhe, Deutschland","Carl-Metz-Straße 7, 76185 Karlsruhe, Deutschland",49.009647,8.351906
OSP Ollisa Solar Power GmbH,,In Betrieb,Normalladeeinrichtung,2,22.0,01.01.2022,Carl-Metz-Straße,7,76185,Karlsruhe,"Carl-Metz-Straße 7, 76185 Karlsruhe, Deutschland","Carl-Metz-Straße 7, 76185 Karlsruhe, Deutschland",49.009647,8.351906
OSP Ollisa Solar Power GmbH,,In Betrieb,Normalladeeinrichtung,2,22.0,01.01.2022,Carl-Metz-Straße,7,76185,Karlsruhe,"Carl-Metz-Straße 7, 76185 Karlsruhe, Deutschland","Carl-Metz-Straße 7, 76185 Karlsruhe, Deutschland",49.009647,8.351906
OSP Ollisa Solar Power GmbH,,In Betrieb,Normalladeeinrichtung,2,22.0,01.01.2022,Carl-Metz-Straße,7,76185,Karlsruhe,"Carl-Metz-Straße 7, 76185 Karlsruhe, Deutschland","Carl-Metz-Straße 7, 76185 Karlsruhe, Deutschland",49.009647,8.351906
Citywatt GmbH,Citywatt GmbH,In Betrieb,Schnellladeeinrichtung,2,300.0,15.05.2024,Neureuter Str.,8,76185,Karlsruhe,"Neureuter Str. 8, 76185 Karlsruhe, Deutschland","Neureuter Str. 8, 76185 Karlsruhe, Deutschland",49.01886,8.355473
