Betreiber,Anzeigename,Status,Art der Ladeeinrichtung,Anzahl Ladepunkte,Nennleistung [kW],Inbetriebnahmedatum,Straße,Hausnummer,PLZ,Ort,Volladresse,location,Latitude,Longitude
Robert Bosch GmbH,,In Betrieb,Normalladeeinrichtung,2,44.0,08.12.2020,Auf der Breit,4,76227,Karlsruhe,"Auf der Breit 4, 76227 Karlsruhe, Deutschland","Auf der Breit 4, 76227 Karlsruhe, Deutschland",49.017146,8.476868
Robert Bosch GmbH,,In Betrieb,Normalladeeinrichtung,2,44.0,08.12.2020,Auf der Breit,4,76227,Karlsruhe,"Auf der Breit 4, 76227 Karlsruhe, Deutschland","Auf der Breit 4, 76227 Karlsruhe, Deutschland",49.017146,8.476867
Robert Bosch GmbH,,In Betrieb,Normalladeeinrichtung,2,44.0,08.12.2020,Auf der Breit,4,76227,Karlsruhe,"Auf der Breit 4, 76227 Karlsruhe, Deutschland","Auf der Breit 4, 76227 Karlsruhe, Deutschland",49.017145,8.476867
EnBW mobility+ AG und Co.KG,,In Betrieb,Schnellladeeinrichtung,2,150.0,01.01.2021,Auf der Breit,9B,76227,Karlsruhe,"Auf der Breit 9B, 76227 Karlsruhe, Deutschland","Auf der Breit 9B, 76227 Karlsruhe, Deutschland",49.016977,8.470953
EnBW mobility+ AG und Co.KG,,In Betrieb,Normalladeeinrichtung,2,30.0,12.11.2020,Blumentorstr.,20,76227,Karlsruhe,"Blumentorstr. 20, 76227 Karlsruhe, Deutschland","Blumentorstr. 20, 76227 Karlsruhe, Deutschland",49.00093,8.47442
EnBW mobility+ AG und Co.KG,,In Betrieb,Normalladeeinrichtung,2,30.0,11.11.2020,Gritznerstr.,6,76227,Karlsruhe,"Gritznerstr. 6, 76227 Karlsruhe, Deutschland","Gritznerstr. 6, 76227 Karlsruhe, Deutschland",48.9993,8.46532
EnBW mobility+ AG und Co.KG,,In Betrieb,Schnellladeeinrichtung,2,156.0,27.04.2021,Am dm-Platz,1,76227,Karlsruhe,"Am dm-Platz 1, 76227 Karlsruhe, Deutschland","Am dm-Platz 1, 76227 Karlsruhe, Deutschland",49.00355,8.45618
EnBW mobility+ AG und Co.KG,,In Betrieb,Schnellladeeinrichtung,2,150.0,15.09.2021,Pfinzstraße / Blumentorstraße,20,76227,Karlsruhe,"Pfinzstraße / Blumentorstraße 20, 76227 Karlsruhe, Deutschland","Pfinzstraße / Blumentorstraße 20, 76227 Karlsruhe, Deutschland",49.001099,8.472881
EnBW mobility+ AG und Co.KG,,In Betrieb,Normalladeeinrichtung,2,30.0,10.03.2022,Reichardtstraße,33,76227,Karlsruhe,"Reichardtstraße 33, 76227 Karlsruhe, Deutschland","Reichardtstraße 33, 76227 Karlsruhe, Deutschland",48.997412,8.485145
Circle K Deutschland GmbH,Circle K Deutschland,In Betrieb,Schnellladeeinrichtung,1,175.0,18.05.2021,Erlachseeweg,10,76227,Karlsruhe,"Erlachseeweg 10, 76227 Karlsruhe, Deutschland","Erlachseeweg 10, 76227 Karlsruhe, Deutschland",48.98567,8.447471
Circle K Deutschland GmbH,Circle K Deutschland,In Betrieb,Schnellladeeinrichtung,1,175.0,18.05.2021,Erlachseeweg,10,76227,Karlsruhe,"Erlachseeweg 10, 76227 Karlsruhe, Deutschland","Erlachseeweg 10, 76227 Karlsruhe, Deutschland",48.98567,8.447471
Emscher Lippe Energie GmbH,Emscher Lippe Energie GmbH,In Betrieb,Normalladeeinrichtung,2,22.0,27.08.2018,Ottostr.,22,76227,Karlsruhe,"Ottostr. 22, 76227 Karlsruhe, Deutschland","Ottostr. 22, 76227 Karlsruhe, Deutschland",48.99729,8.43733
Emscher Lippe Energie GmbH,Emscher Lippe Energie GmbH,In Betrieb,Normalladeeinrichtung,2,44.0,26.10.2018,Ottostr.,22,76227,Karlsruhe,"Ottostr. 22, 76227 Karlsruhe, Deutschland","Ottostr. 22, 76227 Karlsruhe, Deutschland",48.99729,8.43733
Teas Energie Solutions GmbH,,In Betrieb,Normalladeeinrichtung,1,22.0,18.10.2019,Pfinzstraße,15,76227,Karlsruhe,"Pfinzstraße 15, 76227 Karlsruhe, Deutschland","Pfinzstraße 15, 76227 Karlsruhe, Deutschland",49.0009,8.4763
Ungeheuer Automobile GmbH,,In Betrieb,Normalladeeinrichtung,2,22.0,27.08.2018,Ottostr.,22,76227,Karlsruhe,"Ottostr. 22, 76227 Karlsruhe, Deutschland","Ottostr. 22, 76227 Karlsruhe, Deutschland",48.99729,8.43733
Ungeheuer Automobile GmbH,,In Betrieb,Normalladeeinrichtung,2,44.0,26.10.2018,Ottostr.,22,76227,Karlsruhe,"Ottostr. 22, 76227 Karlsruhe, Deutschland","Ottostr. 22, 76227 Karlsruhe, Deutschland",48.99729,8.43733
Golfanlagen Weiland GmbH,,In Betrieb,Normalladeeinrichtung,2,22.0,31.10.2024,Gut Batzenhof,3,76227,Karlsruhe,"Gut Batzenhof 3, 76227 Karlsruhe, Deutschland","Gut Batzenhof 3, 76227 Karlsruhe, Deutschland",48.95892,8.493
Pneuhage Management GmbH & Co. KG,,In Betrieb,Normalladeeinrichtung,2,11.0,22.01.2024,Fiduciastr.,14,76227,Karlsruhe,"Fiduciastr. 14, 76227 Karlsruhe, Deutschland","Fiduciastr. 14, 76227 Karlsruhe, Deutschland",48.99426,8.449059
Visteon Electronics Germany,,In Betrieb,Normalladeeinrichtung,4,88.0,09.08.2019,An der RaumFabrik,33b,76227,Karlsruhe,"An der RaumFabrik 33b, 76227 Karlsruhe, Deutschland","An der RaumFabrik 33b, 76227 Karlsruhe, Deutschland",48.996768,8.463724
Visteon Electronics Germany,,In Betrieb,Normalladeeinrichtung,2,44.0,14.08.2020,An der Raumfabrik,33x,76227,Karlsruhe,"An der Raumfabrik 33x, 76227 Karlsruhe, Deutschland","An der Raumfabrik 33x, 76227 Karlsruhe, Deutschland",48.996776,8.463732
Visteon Electronics Germany,,In Betrieb,Normalladeeinrichtung,2,44.0,14.08.2020,An der Raumfabrik,33c,76227,Karlsruhe,"An der Raumfabrik 33c, 76227 Karlsruhe, Deutschland","An der Raumfabrik 33c, 76227 Karlsruhe, Deutschland",48.996776,8.463732
TelemaxX Telekommunikation GmbH,,In Betrieb,Normalladeeinrichtung,4,80.0,01.09.2022,Amalienbadstraße,41,76227,Karlsruhe,"Amalienbadstraße 41, 76227 Karlsruhe, Deutschland","Amalienbadstraße 41, 76227 Karlsruhe, Deutschland",48.99581,8.46338
TelemaxX Telekommunikation GmbH,,In Betrieb,Normalladeeinrichtung,4,80.0,01.09.2022,Amalienbadstraße,41,76227,Karlsruhe,"Amalienbadstraße 41, 76227 Karlsruhe, Deutschland","Amalienbadstraße 41, 76227 Karlsruhe, Deutschland",48.99581,8.46338
TelemaxX Telekommunikation GmbH,,In Betrieb,Normalladeeinrichtung,4,80.0,01.09.2022,Amalienbadstraße,41,76227,Karlsruhe,"Amalienbadstraße 41, 76227 Karlsruhe, Deutschland","Amalienbadstraße 41, 76227 Karlsruhe, Deutschland",48.99581,8.46338
Parkraumgesellschaft Baden-Württemberg GmbH,,In Betrieb,Normalladeeinrichtung,2,22.0,19.11.2024,Neßlerstr.,25,76227,Karlsruhe,"Neßlerstr. 25, 76227 Karlsruhe, Deutschland","Neßlerstr. 25, 76227 Karlsruhe, Deutschland",49.0034,8.494312
Robert Bosch GmbH,,In Betrieb,Normalladeeinrichtung,2,44.0,01.12.2025,Auf der Breit,4,76227,Karlsruhe,"Auf der Breit 4, 76227 Karlsruhe, Deutschland","Auf der Breit 4, 76227 Karlsruhe, Deutschland",49.017147,8.476868
Winterrot Hotelbetriebe GmbH,,In Betrieb,Normalladeeinrichtung,2,22.0,08.01.2021,Rudolf-Link-Str.,10,76228,Karlsruhe,"Rudolf-Link-Str. 10, 76228 Karlsruhe, Deutschland","Rudolf-Link-Str. 10, 76228 Karlsruhe, Deutschland",48.944248,8.488453
Winterrot Hotelbetriebe GmbH,,In Betrieb,Normalladeeinrichtung,2,22.0,08.01.2021,Rudolf-Link-Str.,10,76228,Karlsruhe,"Rudolf-Link-Str. 10, 76228 Karlsruhe, Deutschland","Rudolf-Link-Str. 10, 76228 Karlsruhe, Deutschland",48.944248,8.488453
Midorion  GmbH & Co. KG,,In Betrieb,Schnellladeeinrichtung,2,200.0,26.03.2025,Rudolf-Link-Str.,2,76228,Karlsruhe,"Rudolf-Link-Str. 2, 76228 Karlsruhe, Deutschland","Rudolf-Link-Str. 2, 76228 Karlsruhe, Deutschland",48.9449,8.49429
Midorion  GmbH & Co. KG,,In Betrieb,Schnellladeeinrichtung,2,200.0,26.03.2025,Rudolf-Link-Str.,2,76228,Karlsruhe,"Rudolf-Link-Str. 2, 76228 Karlsruhe, Deutschland","Rudolf-Link-Str. 2, 76228 Karlsruhe, Deutschland",48.9449,8.49429
Midorion  GmbH & Co. KG,,In Betrieb,Schnellladeeinrichtung,2,200.0,26.03.2025,Rudolf-Link-Str.,2,76228,Karlsruhe,"Rudolf-Link-Str. 2, 76228 Karlsruhe, Deutschland","Rudolf-Link-Str. 2, 76228 Karlsruhe, Deutschland",48.9449,8.49429
Midorion  GmbH & Co. KG,,In Betrieb,Schnellladeeinrichtung,2,200.0,26.03.2025,Rudolf-Link-Str.,2,76228,Karlsruhe,"Rudolf-Link-Str. 2, 76228 Karlsruhe, Deutschland","Rudolf-Link-Str. 2, 76228 Karlsruhe, Deutschland",48.94491,8.49429
